"Player_Name","Role_Desc","Player_team","Opposit_Team","is_manofThematch","pscore","City_Name"
"KA Pollard","Player","Mumbai Indians","Chennai Super Kings","0","0","Chennai Super Kings"
"LMP Simmons","Player","Mumbai Indians","Chennai Super Kings","0","0","Chennai Super Kings"
"HH Pandya","Player","Mumbai Indians","Chennai Super Kings","1","0","Chennai Super Kings"
"MJ McClenaghan","Player","Mumbai Indians","Chennai Super Kings","0","0","Chennai Super Kings"
"YK Pathan","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"G Gambhir","Captain","Kolkata Knight Riders","Kings XI Punjab","0","4","Kolkata Knight Riders"
"RV Uthappa","Keeper","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"PP Chawla","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"MK Pandey","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"J Botha","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"UT Yadav","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"SA Yadav","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"SP Narine","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"GB Hogg","Player","Kolkata Knight Riders","Kings XI Punjab","0","1","Kolkata Knight Riders"
"AD Russell","Player","Kolkata Knight Riders","Kings XI Punjab","1","1","Kolkata Knight Riders"
"WP Saha","Keeper","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"M Vijay","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"GJ Bailey","Captain","Kings XI Punjab","Kolkata Knight Riders","0","3","Kolkata Knight Riders"
"GJ Maxwell","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"DA Miller","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"Gurkeerat Singh","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"M Vohra","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"Sandeep Sharma","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"AR Patel","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"Anureet Singh","Player","Kings XI Punjab","Kolkata Knight Riders","0","0","Kolkata Knight Riders"
"P Kumar","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"S Dhawan","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"I Sharma","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"RS Bopara","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"MC Henriques","Player","Sunrisers Hyderabad","Delhi Daredevils","1","0","Delhi Daredevils"
"KV Sharma","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"NV Ojha","Keeper","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"DA Warner","Captain","Sunrisers Hyderabad","Delhi Daredevils","0","3","Delhi Daredevils"
"EJG Morgan","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"B Kumar","Player","Sunrisers Hyderabad","Delhi Daredevils","0","0","Delhi Daredevils"
"Z Khan","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"Yuvraj Singh","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"SS Tiwary","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"JA Morkel","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"A Mishra","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"JP Duminy","Captain","Delhi Daredevils","Sunrisers Hyderabad","0","3","Delhi Daredevils"
"KM Jadhav","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"Q de Kock","Keeper","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"NM Coulter-Nile","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
"SS Iyer","Player","Delhi Daredevils","Sunrisers Hyderabad","0","0","Delhi Daredevils"
