Player_Name,Role_Desc,Player_team,Opposit_Team,is_manofThematch,pscore,City_Name,
JD Ryder,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
M Manhas,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
WD Parnell,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
B Kumar,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
SPD Smith,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
MJ Clarke,Player,Pune Warriors,Mumbai Indians,FALSE,0,Pune Warriors,
MS Dhoni,CaptainKeeper,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
SK Raina,Player,Chennai Super Kings,Deccan Chargers,TRUE,1,Chennai Super Kings,
S Badrinath,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
RA Jadeja,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
DJ Bravo,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
JA Morkel,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
M Vijay,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
SB Jakati,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
R Ashwin,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
F du Plessis,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
BW Hilfenhaus,Player,Chennai Super Kings,Deccan Chargers,FALSE,1,Chennai Super Kings,
CL White,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
PA Patel,Keeper,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
KC Sangakkara,Captain,Deccan Chargers,Chennai Super Kings,FALSE,3,Chennai Super Kings,
S Dhawan,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
DW Steyn,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
A Mishra,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
AA Jhunjhunwala,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
DT Christian,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
Ankit Sharma,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
A Ashish Reddy,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
V Pratap Singh,Player,Deccan Chargers,Chennai Super Kings,FALSE,0,Chennai Super Kings,
